	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR	negLog10_FDR
HSF4	-0.20443902013286402	-0.058184991502439005	-2.36202870666073	0.01884973732698319	0.03357609461368881	1.4739698200014428
KLF12	-0.2854880333542827	-0.13112850428584294	-2.3708563863462455	0.018356358264704446	0.03288410466277054	1.4830139782022203
EGR1	-0.06609030918025831	-0.01986266134140051	-2.388462437323365	0.017840361151552794	0.032051307856801145	1.4941542443541138
MEF2C	-0.09070602578905712	-0.03140640160488665	-2.394865982475049	0.017416786246034054	0.03147067716502407	1.5020939121274768
SND1	-0.7389641930722932	-0.3683407293062622	-2.401705219920972	0.017138539531576485	0.031057411232076462	1.5078347473994727
TAL1	-0.1678811366424897	-0.05624854624861217	-2.4132209072580957	0.01656200697400146	0.030275155605536196	1.5189136160312502
FOXG1	-1.6610636576525695	-1.116543053624719	-2.4490707496379103	0.015148438293772187	0.027772136871915678	1.5563907030377215
NFIA	-1.6610636576525695	-1.116543053624719	-2.4490707496379103	0.015148438293772187	0.027772136871915678	1.5563907030377215
KLF16	-1.6610636576525695	-1.116543053624719	-2.4490707496379103	0.015148438293772187	0.027772136871915678	1.5563907030377215
CBX8	-1.6610636576525695	-1.116543053624719	-2.4490707496379103	0.015148438293772187	0.027772136871915678	1.5563907030377215
ZBTB17	-1.6610636576525695	-1.116543053624719	-2.4490707496379103	0.015148438293772187	0.027772136871915678	1.5563907030377215
ZBTB5	-1.6610636576525695	-1.116543053624719	-2.4490707496379103	0.015148438293772187	0.027772136871915678	1.5563907030377215
DEAF1	-0.1260980550814335	-0.03253588803680215	-2.4711537414326212	0.014170269957533278	0.026521669442905568	1.5763991421442531
XBP1	-0.36059342795066546	-0.2137796621849883	-2.500974966006227	0.013185239438182738	0.024826261644866596	1.6050886718766517
LHX2	-0.026814993750938324	0.08768989515543998	-2.5263587562369145	0.012075197453408364	0.02301261034433752	1.6380341160622036
CREG1	-0.0008829748110422806	0.12493598043737279	-2.5394862054645357	0.011640017737260998	0.02231893309254632	1.6513265697297286
