	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR	negLog10_FDR
NR2C2	-0.021209257971232926	0.030533361064808286	-0.8346618461000814	0.4055866427179855	0.488105230295925	0.311486538632172
OTX2	0.06785033180360879	0.09861147436392538	-0.8668295561066246	0.38722911520058034	0.46871168963467924	0.32909421507264386
FOXL2	0.18136784082558682	0.25700435222164414	-0.8933159032336998	0.3734101933796231	0.45373680474616995	0.3431959916180942
PBX2	-0.02648201248791258	0.09846038376420375	-0.9029821782888502	0.36806783214191485	0.44811365194753516	0.34861182494398246
CTCFL	-0.1262962028782143	0.010234005655486506	-0.9488068256176401	0.3442938013562912	0.42411043899881057	0.37252103774122214
ING1	0.016992665104157333	0.07534976503812049	-0.9669987362696288	0.3353152962350091	0.41467986339122426	0.38228705320700557
HOXD9	-0.1089066091272905	-0.07568740297467025	-0.9703509426033885	0.33363239734004313	0.4134140575735317	0.3836147598741529
YY1	-0.008060699574465478	0.009238020452185395	-0.9760728685250968	0.3309905074495403	0.41095257063536983	0.38620829856177064
ATF7	-0.23140155416450447	-0.15578749303190184	-0.9929500819942004	0.3223313761556723	0.4009955810508066	0.39686041325469246
SHOX	-0.18912100393023226	-0.08785277004320846	-1.010977640368594	0.3140148983032096	0.3922058590360805	0.40648592283541257
ERCC2	-0.026506077418263423	0.03891154821966583	-1.0148548677742049	0.31201414359865276	0.3904847665396313	0.40839590400645953
NFKB1	-0.05123654305778592	-0.03708690309156125	-1.0334564557271748	0.30346253070153195	0.3813046227452115	0.41872792952683613
PCGF2	-0.02433412348593963	0.02199528584023099	-1.0385480502650954	0.3005303488737847	0.3783785717748253	0.4220734664125737
SP3	-0.0026587986254838626	0.017360064612210166	-1.0416575422960401	0.29981588627988504	0.3782385527112433	0.42223420691236196
HDAC3	0.09612449281522917	0.14903219014325678	-1.0431803840028906	0.29913521855845465	0.37814068958901426	0.42234658814078857
LRRFIP1	0.012930017625138198	0.08155307805111695	-1.0611647121396877	0.2905064793779166	0.3679748738786944	0.4341818348818582
TRIB3	-0.1570022085918617	-0.0030112317501101264	-1.063001194858493	0.28987252740830255	0.3679151309413071	0.434252350931613
SIX1	-0.15739493081008454	-0.0447141661702511	-1.0632704997628835	0.28975772659029536	0.3679151309413071	0.434252350931613
TFAP2B	-0.12116008753515828	0.03441405709199197	-1.0783415846181585	0.2828897372475804	0.36051192124844084	0.44308036964964664
FOSL1	-0.08208195889091903	0.014306095853619069	-1.123906212291165	0.26289132380516816	0.338465831675237	0.47048516704939497
IRF2	-0.08535661076012684	-0.03060751268826246	-1.127465464089558	0.2614533543437998	0.3380025838630154	0.47107997974258076
DEAF1	-0.019128565261508308	0.03120394537021381	-1.1285166289155308	0.26133364221043426	0.3380025838630154	0.47107997974258076
MKL1	-0.46684564642990206	-0.32768004553922825	-1.1399465910824735	0.25616325308891236	0.3339175877063369	0.4763607057055822
SP7	-0.1570304019591457	-0.07379002863703707	-1.1462261160279608	0.25379739768254667	0.33152285072282656	0.4794865318118123
THRB	0.1841605724421167	0.38680986873079687	-1.156152830227079	0.24967938655286173	0.32782347123073946	0.4843599553992149
JUN	-0.060026187030411564	-0.03394501847057432	-1.2050447741153907	0.23055518129757702	0.306267158206739	0.5138995711800117
HDAC2	-0.008590182353251277	0.03520572197751168	-1.232110330574212	0.2198158821095411	0.29324374060145164	0.5327712492934639
RFX5	0.44987617696768195	0.8137522709038447	-1.2426480111353908	0.21624335268968184	0.28909292566403094	0.5389625357339273
NR1H4	-0.13956403672848988	-0.08237213019505535	-1.2559944642572924	0.2117406004282971	0.28367811211226984	0.5471741719784644
CEBPD	-0.13991723160021974	-0.07040346444143415	-1.2689726930747411	0.20648748470327358	0.2772326614752731	0.5571556057237169
SPIB	-0.35100222481880256	-0.20327944027435388	-1.28436127188381	0.20105085006600232	0.27109437202448056	0.5668794983696555
KLF8	-0.19972756774051822	-0.09587887249668763	-1.3182867456601568	0.18944484303982528	0.258221557795588	0.5880075031972491
DLX5	-0.23074910158858836	-0.03675219034352039	-1.3309636144961827	0.18628760578068168	0.25502691883075856	0.593413976104702
SOX17	-0.00025624736675234575	0.0667207404547539	-1.3769910340078875	0.17099024351359904	0.2361473186850806	0.6268169812195477
EHF	-0.45195893193574005	-0.15397917468011849	-1.4165935078007967	0.15905985354641317	0.22211698925078185	0.6534182219302184
ILF2	-0.10392591454816312	-0.05326937042734903	-1.450807696882198	0.1489216096168937	0.20935840634482591	0.679109596244572
MAML1	-0.004169257238468427	0.12410682862245886	-1.4710045472487014	0.14355308280021656	0.2022646807095186	0.6940799467503135
BCL11A	-0.3091059126945837	-0.17903746444121124	-1.472551848112559	0.14319341115676143	0.2022123171065077	0.6941923943015467
NR0B2	-0.3785688599995537	-0.22505984637577456	-1.4808905377606978	0.1412085558447059	0.20031168442224118	0.6982937170464117
GATA1	-0.12638007683549235	-0.08533992531988019	-1.4886075242136056	0.13896521927573663	0.19847652046899059	0.7022908623712916
NFAT5	-0.23094147161241305	0.06494711400776156	-1.4894791176232314	0.13879192795608727	0.19847652046899059	0.7022908623712916
HEY2	0.05261879413256283	0.18840585600835522	-1.4990801329968315	0.13632115514889467	0.1960398263265068	0.7076556909047312
MXD1	-0.093357244810196	-0.043672674484186526	-1.5146418682529146	0.13235367845388685	0.19121142025480886	0.718486172700453
EGR2	-0.36380833384873007	-0.20052234351916415	-1.57439643088189	0.11792875594582836	0.17316470720851143	0.7615406170902526
CRABP2	-0.0782111908223425	0.02276627546558006	-1.5920406276998689	0.11392027777343616	0.16846229755647282	0.773497280521522
PER1	-0.05819111072166583	0.044216009647714896	-1.6069362598623813	0.11056109234098628	0.16426967985260282	0.7844425892603931
MEN1	-0.19888115292463526	-0.11463995161026808	-1.6112568304464747	0.10957733208701843	0.16358330290133466	0.7862610272409981
STAT5B	-0.299268930890218	-0.16619545719959458	-1.6537202286049206	0.1004166384579336	0.1509861686166052	0.821062835280431
ZNF143	-0.3818556305697433	-0.2532909265771737	-1.6602021557374627	0.09971929230797963	0.15029806797380585	0.8230466020724927
TGIF1	-0.10727124528935351	0.030687490704929928	-1.6784472742048975	0.0954155208157173	0.14450611485858636	0.8401137751001446
AIP	-0.05278569138583439	0.0770817124315673	-1.724588580698428	0.08686165608045585	0.13315955589840053	0.8756276619322798
SND1	-0.3073856941361673	0.01769686346752124	-1.746041739248551	0.08342773884026904	0.12884037500701648	0.8899480197787595
HES6	-0.10245038900249938	0.12024834870592566	-1.7784213306885412	0.07775417292686848	0.12127329956504114	0.9162348061242597
NFE2L2	-0.03864997750091167	0.004980631173550519	-1.8065633922319841	0.07325427172457775	0.1145397216242151	0.9410438767248215
ZIC2	-0.11338491336465181	0.27017113452609204	-1.8411222683473791	0.06796062668001303	0.10679527049716334	0.9714479799148105
HOXB1	-0.11338491336465181	0.27017113452609204	-1.8411222683473791	0.06796062668001303	0.10679527049716334	0.9714479799148105
HOXB13	-0.11338491336465181	0.27017113452609204	-1.8411222683473791	0.06796062668001303	0.10679527049716334	0.9714479799148105
EHMT2	-0.3228754932000289	-0.1474020439760461	-1.8443586206403089	0.06755076965444963	0.10679527049716334	0.9714479799148105
NCOR1	0.11244154051025308	0.2632219040934688	-1.8483236988935	0.06677669834296054	0.10626647172851843	0.9736037386766393
PGR	-0.013086883978919942	0.06889182101637051	-1.9015612334369545	0.06002522183463968	0.09600972982224255	1.0176847524397366
SNAI2	-0.1963751392740701	-0.06972870196176324	-1.9911928002269	0.04869185646213502	0.0790927305745043	1.1018634307432642
TOB1	-0.023423815518101253	0.10339689120075125	-2.000538815522779	0.0475239436212384	0.07739613675458824	1.1112807166819316
ANKRD1	-0.08276086670115707	0.03246778681204339	-2.0295350037449067	0.04436742601467981	0.07301411052809512	1.1365932010809532
SMAD7	-0.0896535797756153	0.0697326406558298	-2.0600560673044797	0.04207088960425031	0.0697842533911771	1.1562425635777656
SOX9	-0.03344486000823636	0.007224029396688905	-2.0652076072103185	0.04095438102770482	0.06829360878822055	1.1656199375759193
HDAC11	-0.05143922996010872	0.06130096269289438	-2.0714025616193004	0.040114921857611716	0.06720407588719046	1.1726043864456426
NRF1	-0.019680372679572122	0.08564234120556724	-2.071629933383209	0.04019382529138186	0.06720407588719046	1.1726043864456426
SP2	-0.14617048261999088	0.06331575045691266	-2.094176747004689	0.038301608350859606	0.06438366872919295	1.1912242798491
TBX3	-0.1705813887952868	0.115224538581503	-2.117688441817973	0.03600719840759311	0.06105463627783212	1.214281351646574
TBX2	-0.1705813887952868	0.115224538581503	-2.117688441817973	0.03600719840759311	0.06105463627783212	1.214281351646574
SSB	-0.026769060499330852	0.15948006773317633	-2.121951808292442	0.03552859080513215	0.06105463627783212	1.214281351646574
TWIST1	-0.10827861760146121	-0.0374123853893851	-2.16869134966788	0.03216081122756701	0.05570394651846552	1.254114034799776
NR4A2	-0.38671458810413023	0.11476639979823801	-2.170332953557814	0.03176529256175586	0.05517129760726017	1.2582868014864226
EAPP	0.022803541613621275	0.24549191594430575	-2.192200989372611	0.029917062942053478	0.05239664375605455	1.2806965306671767
ARNTL2	-0.5951314649285777	-0.27453152085456695	-2.2343428052707113	0.02692274531333802	0.04741730705467117	1.324063114307768
BMI1	-0.2140983226581875	0.15158016037490363	-2.2429010826007634	0.026657765497722176	0.04711569151043292	1.3268344304194994
SMAD4	-0.1166492022913969	0.02614104299454928	-2.245230859423366	0.026676348462844793	0.04711569151043292	1.3268344304194994
