	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR_A375	negLog10_FDR	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR_HT29	negLog10_FDR
ESRRG	-0.026	0.102	-1.718	8.706e-02	1.278e-01	0.893	0.025	-0.038	0.735	4.635e-01	5.438e-01	0.265
ETS1	-0.065	-0.068	0.099	9.213e-01	9.352e-01	0.029	-0.049	-0.050	0.032	9.744e-01	9.818e-01	0.008
ETS2	-0.036	-0.121	2.039	4.244e-02	6.823e-02	1.166	0.079	-0.074	2.783	6.240e-03	1.349e-02	1.870
ETV3	0.117	-0.005	1.650	1.004e-01	1.451e-01	0.838	0.428	0.079	3.903	1.560e-04	5.526e-04	3.258
ETV4	-0.127	-0.072	-1.100	2.727e-01	3.479e-01	0.459	-0.005	-0.123	2.540	1.199e-02	2.364e-02	1.626
ETV5	0.187	0.016	1.542	1.242e-01	1.755e-01	0.756	0.125	0.059	0.729	4.670e-01	5.452e-01	0.263
ETV6	1.026	0.368	8.021	6.332e-14	1.527e-12	11.816	0.816	0.187	7.238	4.891e-11	1.278e-09	8.894
EWSR1	0.596	0.050	5.682	4.649e-08	3.005e-07	6.522	0.712	0.168	4.730	6.030e-06	3.151e-05	4.502
EZH2	-0.328	-0.104	-8.064	4.298e-14	1.078e-12	11.967	-0.233	-0.098	-3.772	2.410e-04	8.038e-04	3.095
FHL2	1.320	0.676	4.525	1.119e-05	4.496e-05	4.347	0.783	0.135	6.045	1.567e-08	1.637e-07	6.786
FLI1	-0.030	0.008	-1.137	2.568e-01	3.320e-01	0.479	-0.087	0.040	-3.832	1.976e-04	6.697e-04	3.174
FOS	0.084	-0.001	3.285	1.176e-03	2.926e-03	2.534	0.106	0.025	2.338	2.109e-02	3.821e-02	1.418
FOSB	-0.747	-0.444	-1.851	6.532e-02	1.001e-01	0.999	-1.289	-0.012	-5.253	6.282e-07	4.019e-06	5.396
FOSL1	0.086	0.149	-0.773	4.405e-01	5.134e-01	0.290	-0.082	0.014	-1.124	2.629e-01	3.385e-01	0.470
FOSL2	-0.444	-0.106	-7.227	1.538e-11	2.325e-10	9.634	-0.432	-0.058	-8.272	2.317e-13	9.080e-12	11.042
FOXA1	-0.195	-0.064	-3.430	7.135e-04	1.895e-03	2.722	-0.071	-0.066	-0.160	8.728e-01	9.015e-01	0.045
FOXA2	0.096	0.044	1.094	2.752e-01	3.500e-01	0.456	0.087	-0.067	3.130	2.160e-03	5.493e-03	2.260
FOXD3	0.309	0.055	2.989	3.179e-03	7.118e-03	2.148	0.423	0.079	4.123	6.034e-05	2.394e-04	3.621
FOXE1	-0.747	0.067	-3.837	1.591e-04	4.937e-04	3.307	0.370	0.552	-0.786	4.330e-01	5.152e-01	0.288
FOXF1	0.119	0.101	0.540	5.899e-01	6.512e-01	0.186	0.204	-0.013	4.307	3.289e-05	1.494e-04	3.826
FOXF2	0.011	0.073	-0.899	3.696e-01	4.465e-01	0.350	-0.377	-0.090	-4.020	9.578e-05	3.662e-04	3.436
FOXG1	-1.661	-1.117	-2.449	1.515e-02	2.777e-02	1.556	-0.802	-0.242	-2.613	1.029e-02	2.068e-02	1.684
FOXH1	-0.361	-0.185	-1.692	9.213e-02	1.340e-01	0.873	-0.383	-0.113	-2.525	1.256e-02	2.424e-02	1.615
FOXI1	-0.172	0.082	-4.331	2.035e-05	7.374e-05	4.132	-0.399	-0.042	-3.411	9.093e-04	2.578e-03	2.589
FOXL1	0.160	-0.163	1.271	2.048e-01	2.732e-01	0.564	0.085	0.022	0.314	7.538e-01	8.094e-01	0.092
FOXL2	-0.385	-0.014	-4.483	1.182e-05	4.690e-05	4.329	0.181	0.257	-0.893	3.734e-01	4.537e-01	0.343
FOXM1	-0.339	0.021	-6.766	1.234e-10	1.488e-09	8.827	-0.518	-0.047	-7.052	1.656e-10	3.146e-09	8.502
FOXO1	-0.005	0.075	-1.914	5.672e-02	8.824e-02	1.054	0.137	0.029	1.964	5.179e-02	8.348e-02	1.078
FOXO3	0.455	0.133	6.377	1.169e-09	1.183e-08	7.927	0.781	0.281	6.179	1.236e-08	1.336e-07	6.874
FOXO4	0.369	0.227	1.973	4.962e-02	7.797e-02	1.108	0.692	0.309	4.017	1.051e-04	3.996e-04	3.398
FOXP1	-0.530	-0.154	-3.279	1.192e-03	2.943e-03	2.531	-0.507	-0.026	-3.088	2.500e-03	6.157e-03	2.211
FOXP2	-0.261	0.048	-4.158	4.446e-05	1.525e-04	3.817	0.011	0.026	-0.232	8.167e-01	8.563e-01	0.067
FOXP3	0.311	0.087	6.338	1.136e-09	1.167e-08	7.933	0.251	0.007	5.064	1.740e-06	1.049e-05	4.979
FOXQ1	0.372	-0.047	3.977	8.928e-05	2.946e-04	3.531	0.606	-0.079	4.310	3.352e-05	1.501e-04	3.824
FUS	0.447	0.160	3.379	8.788e-04	2.240e-03	2.650	0.151	0.094	0.766	4.448e-01	5.266e-01	0.278
GATA1	-0.139	-0.070	-3.201	1.530e-03	3.705e-03	2.431	-0.126	-0.085	-1.489	1.390e-01	1.985e-01	0.702
GATA2	0.098	0.005	2.980	3.206e-03	7.129e-03	2.147	-0.059	-0.039	-0.510	6.109e-01	6.816e-01	0.167
GATA3	0.095	0.001	3.428	6.933e-04	1.851e-03	2.733	0.042	-0.050	2.293	2.350e-02	4.235e-02	1.373
GATA4	-0.050	-0.053	0.099	9.214e-01	9.352e-01	0.029	0.038	-0.042	2.178	3.137e-02	5.479e-02	1.261
GATA6	0.201	-0.080	3.791	1.914e-04	5.825e-04	3.235	0.381	0.103	2.840	5.356e-03	1.199e-02	1.921
GBX2	0.303	0.449	-1.010	3.137e-01	3.887e-01	0.410	0.217	0.207	0.067	9.470e-01	9.592e-01	0.018
GCM1	0.262	0.159	1.294	1.968e-01	2.630e-01	0.580	0.531	0.099	4.388	2.320e-05	1.062e-04	3.974
GCM2	-0.136	-0.083	-2.353	1.945e-02	3.416e-02	1.466	-0.102	-0.029	-2.410	1.750e-02	3.267e-02	1.486
GFI1	0.052	0.173	-1.191	2.346e-01	3.071e-01	0.513	0.003	0.059	-0.557	5.787e-01	6.536e-01	0.185
GFI1B	-1.400	0.069	-6.155	4.576e-09	3.632e-08	7.440	-0.343	0.077	-2.352	1.966e-02	3.615e-02	1.442
GLI1	0.035	-0.047	2.048	4.163e-02	6.723e-02	1.172	0.197	0.002	3.764	2.597e-04	8.616e-04	3.065
GLI2	0.011	-0.093	2.745	6.506e-03	1.333e-02	1.875	0.047	-0.071	2.102	3.773e-02	6.360e-02	1.197
GLI3	-0.469	-0.251	-3.981	9.134e-05	2.995e-04	3.524	-0.612	-0.201	-4.727	6.597e-06	3.391e-05	4.470
GTF2I	-0.466	-0.112	-4.199	3.895e-05	1.357e-04	3.867	-0.120	-0.060	-0.791	4.305e-01	5.132e-01	0.290
GTF3A	-1.055	0.262	-6.765	1.063e-10	1.307e-09	8.884	0.028	0.118	-0.480	6.320e-01	7.002e-01	0.155
GZF1	0.210	-0.126	2.887	4.209e-03	9.006e-03	2.045	0.261	-0.288	2.856	5.175e-03	1.167e-02	1.933
HAND2	-0.105	-0.061	-0.883	3.781e-01	4.546e-01	0.342	0.001	0.014	-0.239	8.118e-01	8.540e-01	0.069
HAX1	-0.141	-0.167	0.387	6.990e-01	7.555e-01	0.122	0.047	-0.021	0.848	3.980e-01	4.799e-01	0.319
HBP1	-0.269	-0.332	0.747	4.562e-01	5.258e-01	0.279	0.074	-0.016	1.123	2.641e-01	3.393e-01	0.469
HCFC1	-0.485	-0.085	-9.518	6.760e-18	4.709e-16	15.327	-0.316	-0.008	-5.469	3.244e-07	2.235e-06	5.651
HDAC1	-0.034	-0.000	-1.346	1.800e-01	2.438e-01	0.613	0.038	-0.028	2.703	7.858e-03	1.659e-02	1.780
HDAC10	-1.271	-0.315	-5.359	1.902e-07	1.125e-06	5.949	-2.051	-0.565	-6.834	2.550e-10	4.321e-09	8.364
